sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12732,0.14961,14.70,-5.9912
1,0,fast,40,50,0,1,0.1250,1,1.13553,0.15785,15.03,-6.1752
2,0,fast,40,100,0,2,0.2500,1,1.12675,0.14722,14.74,-6.1807
3,0,fast,40,150,0,3,0.3750,1,1.13050,0.15164,14.88,-6.1185
4,0,fast,40,200,0,4,0.5000,1,1.13395,0.15507,15.00,-6.2131
5,0,fast,40,250,0,5,0.6250,1,1.12989,0.15049,14.86,-6.1821
6,0,fast,40,300,0,6,0.7500,1,1.12930,0.15037,14.82,-6.1659
7,0,fast,40,350,0,7,0.8750,1,1.12768,0.14827,14.77,-6.2392
8,0,fast,40,400,0,8,1.0000,1,1.13549,0.15787,15.02,-6.2227
9,1,fast,40,0,0,0,0.0000,1,1.12373,0.14601,14.57,-5.9931
10,1,fast,40,50,0,1,0.1250,1,1.12076,0.14304,14.48,-5.4490
11,1,fast,40,100,0,2,0.2500,1,1.12107,0.14273,14.50,-5.3843
12,1,fast,40,150,0,3,0.3750,1,1.12417,0.14411,14.66,-6.0219
13,1,fast,40,200,0,4,0.5000,1,1.12103,0.14028,14.56,-6.1044
14,1,fast,40,250,0,5,0.6250,1,1.13186,0.15228,14.95,-6.2530
15,1,fast,40,300,0,6,0.7500,1,1.13164,0.15172,14.95,-6.2807
16,1,fast,40,350,0,7,0.8750,1,1.13169,0.15187,14.94,-6.1070
17,1,fast,40,400,0,8,1.0000,1,1.13292,0.15293,14.99,-6.2081
18,2,fast,40,0,0,0,0.0000,1,1.13443,0.15850,14.96,-6.4714
19,2,fast,40,50,0,1,0.1250,1,1.12609,0.14642,14.70,-6.2805
20,2,fast,40,100,0,2,0.2500,1,1.12669,0.14767,14.70,-6.2312
21,2,fast,40,150,0,3,0.3750,1,1.12606,0.14659,14.69,-6.2446
22,2,fast,40,200,0,4,0.5000,1,1.12465,0.14439,14.66,-6.2910
23,2,fast,40,250,0,5,0.6250,1,1.12513,0.14459,14.68,-6.3109
24,2,fast,40,300,0,6,0.7500,1,1.12835,0.14940,14.77,-6.1836
25,2,fast,40,350,0,7,0.8750,1,1.12631,0.14748,14.69,-6.2299
26,2,fast,40,400,0,8,1.0000,1,1.12413,0.14399,14.63,-6.2224
27,3,fast,40,0,0,0,0.0000,1,1.12250,0.14458,14.52,-5.9526
28,3,fast,40,50,0,1,0.1250,1,1.12706,0.15085,14.67,-6.1954
29,3,fast,40,100,0,2,0.2500,1,1.13045,0.15400,14.80,-6.0693
30,3,fast,40,150,0,3,0.3750,1,1.13108,0.15484,14.84,-5.9628
31,3,fast,40,200,0,4,0.5000,1,1.13189,0.15556,14.87,-6.1483
32,3,fast,40,250,0,5,0.6250,1,1.12716,0.15116,14.68,-5.9674
33,3,fast,40,300,0,6,0.7500,1,1.12845,0.15064,14.76,-6.1360
34,3,fast,40,350,0,7,0.8750,1,1.12874,0.15189,14.75,-6.1087
35,3,fast,40,400,0,8,1.0000,1,1.13443,0.15882,14.95,-6.0733
36,4,fast,40,0,0,0,0.0000,1,1.12026,0.14157,14.45,-5.9982
37,4,fast,40,50,0,1,0.1250,1,1.12541,0.14576,14.71,-5.9504
38,4,fast,40,100,0,2,0.2500,1,1.13560,0.15994,14.98,-6.1003
39,4,fast,40,150,0,3,0.3750,1,1.13439,0.15836,14.93,-6.1165
40,4,fast,40,200,0,4,0.5000,1,1.13760,0.16085,15.07,-6.2407
41,4,fast,40,250,0,5,0.6250,1,1.13920,0.16283,15.12,-6.2115
42,4,fast,40,300,0,6,0.7500,1,1.13864,0.16275,15.09,-6.2167
43,4,fast,40,350,0,7,0.8750,1,1.13997,0.16414,15.14,-6.1633
44,4,fast,40,400,0,8,1.0000,1,1.13879,0.16304,15.08,-6.2547
45,5,fast,40,0,0,0,0.0000,1,1.12397,0.14632,14.58,-6.0722
46,5,fast,40,50,0,1,0.1250,1,1.13943,0.16446,15.12,-6.1308
47,5,fast,40,100,0,2,0.2500,1,1.14306,0.16753,15.24,-6.2738
48,5,fast,40,150,0,3,0.3750,1,1.14248,0.16798,15.19,-6.3764
49,5,fast,40,200,0,4,0.5000,1,1.14024,0.16574,15.10,-6.2461
50,5,fast,40,250,0,5,0.6250,1,1.14197,0.16699,15.18,-6.2813
51,5,fast,40,300,0,6,0.7500,1,1.14061,0.16515,15.16,-6.2326
52,5,fast,40,350,0,7,0.8750,1,1.14531,0.16978,15.33,-6.2049
53,5,fast,40,400,0,8,1.0000,1,1.14403,0.16906,15.27,-6.2264
54,6,fast,40,0,0,0,0.0000,1,1.12427,0.14601,14.59,-6.0447
55,6,fast,40,50,0,1,0.1250,1,1.12951,0.15224,14.79,-5.8476
