sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12193,0.14348,14.50,-5.9992
1,0,fast,40,200,0,1,0.5000,1,1.12459,0.14163,14.73,-6.0451
2,0,fast,40,400,0,2,1.0000,1,1.12632,0.14444,14.77,-6.0957
3,1,fast,40,0,0,0,0.0000,1,1.12201,0.14409,14.52,-6.0414
4,1,fast,40,200,0,1,0.5000,1,1.13012,0.15162,14.88,-6.0530
5,1,fast,40,400,0,2,1.0000,1,1.12357,0.14309,14.62,-6.1564
6,2,fast,40,0,0,0,0.0000,1,1.12269,0.14584,14.51,-5.9571
7,2,fast,40,200,0,1,0.5000,1,1.12293,0.14222,14.61,-6.2362
8,2,fast,40,400,0,2,1.0000,1,1.12583,0.14519,14.73,-6.1672
9,3,fast,40,0,0,0,0.0000,1,1.12498,0.14711,14.60,-5.9659
10,3,fast,40,200,0,1,0.5000,1,1.12761,0.14443,14.84,-5.9395
11,3,fast,40,400,0,2,1.0000,1,1.14334,0.16853,15.23,-6.7611
12,4,fast,40,0,0,0,0.0000,1,1.12269,0.14451,14.54,-6.0823
13,4,fast,40,200,0,1,0.5000,1,1.12115,0.13982,14.55,-6.2449
14,4,fast,40,400,0,2,1.0000,1,1.12283,0.14190,14.61,-6.1850
15,5,fast,40,0,0,0,0.0000,1,1.12193,0.14462,14.49,-5.9401
16,5,fast,40,200,0,1,0.5000,1,1.13699,0.16366,14.97,-5.8843
17,5,fast,40,400,0,2,1.0000,1,1.13988,0.16582,15.12,-5.8406
18,6,fast,40,0,0,0,0.0000,1,1.12830,0.14751,14.84,-6.7230
19,6,fast,40,200,0,1,0.5000,1,1.13003,0.15052,14.88,-6.1001
20,6,fast,40,400,0,2,1.0000,1,1.12661,0.14754,14.74,-6.0969
21,7,fast,40,0,0,0,0.0000,1,1.12571,0.14667,14.66,-6.1808
22,7,fast,40,200,0,1,0.5000,1,1.13682,0.16129,15.01,-5.8893
23,7,fast,40,400,0,2,1.0000,1,1.13338,0.15752,14.88,-5.9436
24,8,fast,40,0,0,0,0.0000,1,1.12452,0.14759,14.59,-5.9721
25,8,fast,40,200,0,1,0.5000,1,1.12619,0.14730,14.70,-5.5808
26,8,fast,40,400,0,2,1.0000,1,1.12514,0.14660,14.65,-5.5992
27,9,fast,40,0,0,0,0.0000,1,1.13240,0.15654,14.85,-6.8907
28,9,fast,40,200,0,1,0.5000,1,1.13426,0.15840,14.91,-6.4506
29,9,fast,40,400,0,2,1.0000,1,1.13434,0.15808,14.93,-6.3813
30,10,fast,40,0,0,0,0.0000,1,1.12383,0.14644,14.56,-6.0334
31,10,fast,40,200,0,1,0.5000,1,1.12399,0.14354,14.65,-6.1830
32,10,fast,40,400,0,2,1.0000,1,1.12510,0.14417,14.70,-6.1808
33,11,fast,40,0,0,0,0.0000,1,1.12723,0.15110,14.68,-5.9725
34,11,fast,40,200,0,1,0.5000,1,1.13013,0.15060,14.89,-6.0811
35,11,fast,40,400,0,2,1.0000,1,1.12402,0.14395,14.67,-6.1242
36,12,fast,40,0,0,0,0.0000,1,1.12409,0.14635,14.59,-6.0419
37,12,fast,40,200,0,1,0.5000,1,1.12321,0.14279,14.62,-6.0747
38,12,fast,40,400,0,2,1.0000,1,1.13021,0.15026,14.88,-6.2378
39,13,fast,40,0,0,0,0.0000,1,1.12228,0.14536,14.49,-6.0239
40,13,fast,40,200,0,1,0.5000,1,1.13519,0.15949,14.98,-6.1277
41,13,fast,40,400,0,2,1.0000,1,1.13287,0.15711,14.90,-6.0679
42,14,fast,40,0,0,0,0.0000,1,1.11681,0.13647,14.36,-6.1552
43,14,fast,40,200,0,1,0.5000,1,1.11114,0.12844,14.23,-5.7030
44,14,fast,40,400,0,2,1.0000,1,1.11224,0.12877,14.28,-5.7093
45,15,fast,40,0,0,0,0.0000,1,1.12373,0.14508,14.59,-6.0048
46,15,fast,40,200,0,1,0.5000,1,1.12193,0.14129,14.59,-6.0211
47,15,fast,40,400,0,2,1.0000,1,1.13069,0.15095,14.91,-6.1370
