sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12732,0.14961,14.70,-5.9912
1,0,fast,40,200,0,1,0.5000,1,1.12928,0.15357,14.75,-6.0965
2,0,fast,40,400,0,2,1.0000,1,1.13207,0.15678,14.84,-6.0687
3,1,fast,40,0,0,0,0.0000,1,1.12373,0.14601,14.57,-5.9931
4,1,fast,40,200,0,1,0.5000,1,1.12585,0.14297,14.78,-6.1381
5,1,fast,40,400,0,2,1.0000,1,1.12370,0.14122,14.69,-6.0879
6,2,fast,40,0,0,0,0.0000,1,1.13443,0.15850,14.96,-6.4714
7,2,fast,40,200,0,1,0.5000,1,1.12516,0.14561,14.66,-6.1887
8,2,fast,40,400,0,2,1.0000,1,1.12404,0.14349,14.64,-6.2075
9,3,fast,40,0,0,0,0.0000,1,1.12250,0.14458,14.52,-5.9526
10,3,fast,40,200,0,1,0.5000,1,1.14057,0.16665,15.10,-6.2860
11,3,fast,40,400,0,2,1.0000,1,1.14038,0.16665,15.09,-6.1821
12,4,fast,40,0,0,0,0.0000,1,1.12026,0.14157,14.45,-5.9982
13,4,fast,40,200,0,1,0.5000,1,1.13205,0.15233,14.95,-6.1868
14,4,fast,40,400,0,2,1.0000,1,1.12594,0.14563,14.73,-6.0941
15,5,fast,40,0,0,0,0.0000,1,1.12397,0.14632,14.58,-6.0722
16,5,fast,40,200,0,1,0.5000,1,1.14118,0.16622,15.16,-6.2115
17,5,fast,40,400,0,2,1.0000,1,1.14202,0.16705,15.20,-6.1456
18,6,fast,40,0,0,0,0.0000,1,1.12427,0.14601,14.59,-6.0447
19,6,fast,40,200,0,1,0.5000,1,1.13776,0.16327,15.05,-6.2090
20,6,fast,40,400,0,2,1.0000,1,1.14261,0.16810,15.24,-6.2164
21,7,fast,40,0,0,0,0.0000,1,1.12208,0.14683,14.46,-5.9691
22,7,fast,40,200,0,1,0.5000,1,1.13256,0.15587,14.87,-6.3679
23,7,fast,40,400,0,2,1.0000,1,1.13546,0.15911,14.98,-6.3660
24,8,fast,40,0,0,0,0.0000,1,1.12010,0.14275,14.41,-6.0357
25,8,fast,40,200,0,1,0.5000,1,1.14747,0.17203,15.40,-6.2327
26,8,fast,40,400,0,2,1.0000,1,1.14268,0.16872,15.19,-6.2518
27,9,fast,40,0,0,0,0.0000,1,1.12377,0.14439,14.61,-6.5038
28,9,fast,40,200,0,1,0.5000,1,1.12482,0.14502,14.66,-6.1763
29,9,fast,40,400,0,2,1.0000,1,1.12568,0.14474,14.73,-6.1452
30,10,fast,40,0,0,0,0.0000,1,1.12648,0.15017,14.63,-5.9217
31,10,fast,40,200,0,1,0.5000,1,1.12620,0.14528,14.75,-6.1051
32,10,fast,40,400,0,2,1.0000,1,1.12848,0.14796,14.84,-6.0064
33,11,fast,40,0,0,0,0.0000,1,1.12257,0.14553,14.50,-6.0006
34,11,fast,40,200,0,1,0.5000,1,1.12551,0.14526,14.71,-6.0794
35,11,fast,40,400,0,2,1.0000,1,1.13071,0.15080,14.91,-6.1344
36,12,fast,40,0,0,0,0.0000,1,1.12928,0.14945,14.85,-6.7497
37,12,fast,40,200,0,1,0.5000,1,1.13155,0.15355,14.92,-6.0045
38,12,fast,40,400,0,2,1.0000,1,1.12520,0.14440,14.70,-6.2908
39,13,fast,40,0,0,0,0.0000,1,1.12286,0.14611,14.51,-5.9784
40,13,fast,40,200,0,1,0.5000,1,1.12953,0.15221,14.80,-5.8392
41,13,fast,40,400,0,2,1.0000,1,1.13015,0.15352,14.80,-5.8337
42,14,fast,40,0,0,0,0.0000,1,1.12435,0.14779,14.56,-5.9624
43,14,fast,40,200,0,1,0.5000,1,1.14191,0.16805,15.21,-6.1223
44,14,fast,40,400,0,2,1.0000,1,1.14052,0.16665,15.16,-6.0744
45,15,fast,40,0,0,0,0.0000,1,1.11901,0.14027,14.41,-6.0110
46,15,fast,40,200,0,1,0.5000,1,1.13065,0.15504,14.79,-6.0637
47,15,fast,40,400,0,2,1.0000,1,1.13436,0.15478,15.04,-6.1715
48,16,fast,40,0,0,0,0.0000,1,1.12415,0.14710,14.55,-5.9530
49,16,fast,40,200,0,1,0.5000,1,1.13614,0.15946,15.01,-6.2995
50,16,fast,40,400,0,2,1.0000,1,1.13367,0.15729,14.91,-6.3983
51,17,fast,40,0,0,0,0.0000,1,1.12082,0.14340,14.45,-6.0478
52,17,fast,40,200,0,1,0.5000,1,1.12326,0.14607,14.55,-5.3652
53,17,fast,40,400,0,2,1.0000,1,1.12423,0.14370,14.66,-6.0604
54,18,fast,40,0,0,0,0.0000,1,1.12030,0.14005,14.48,-6.0790
55,18,fast,40,200,0,1,0.5000,1,1.14049,0.16570,15.16,-6.2079
56,18,fast,40,400,0,2,1.0000,1,1.13254,0.15634,14.88,-6.2947
57,19,fast,40,0,0,0,0.0000,1,1.12348,0.14735,14.52,-5.9693
58,19,fast,40,200,0,1,0.5000,1,1.13907,0.16160,15.16,-6.0295
59,19,fast,40,400,0,2,1.0000,1,1.13829,0.16130,15.11,-6.0231
60,20,fast,40,0,0,0,0.0000,1,1.11468,0.12910,14.37,-6.5911
61,20,fast,40,200,0,1,0.5000,1,1.12892,0.14915,14.83,-6.1670
62,20,fast,40,400,0,2,1.0000,1,1.12911,0.14960,14.84,-6.0778
63,21,fast,40,0,0,0,0.0000,1,1.12634,0.14871,14.66,-6.0573
64,21,fast,40,200,0,1,0.5000,1,1.13227,0.15592,14.88,-5.9574
65,21,fast,40,400,0,2,1.0000,1,1.12883,0.15179,14.77,-6.0317
66,22,fast,40,0,0,0,0.0000,1,1.11843,0.13912,14.40,-6.0925
67,22,fast,40,200,0,1,0.5000,1,1.13776,0.16354,15.02,-6.0996
68,22,fast,40,400,0,2,1.0000,1,1.13839,0.16450,15.05,-6.1462
69,23,fast,40,0,0,0,0.0000,1,1.12679,0.14998,14.66,-5.9882
70,23,fast,40,200,0,1,0.5000,1,1.12711,0.14666,14.77,-6.1460
71,23,fast,40,400,0,2,1.0000,1,1.12586,0.14591,14.71,-6.1444
72,24,fast,40,0,0,0,0.0000,1,1.12394,0.14646,14.58,-6.0123
73,24,fast,40,200,0,1,0.5000,1,1.12557,0.14514,14.71,-6.1234
74,24,fast,40,400,0,2,1.0000,1,1.12355,0.14277,14.64,-6.0565
75,25,fast,40,0,0,0,0.0000,1,1.10353,0.11251,14.04,-6.6019
76,25,fast,40,200,0,1,0.5000,1,1.12442,0.14445,14.68,-6.0603
77,25,fast,40,400,0,2,1.0000,1,1.12880,0.14864,14.84,-6.1778
78,26,fast,40,0,0,0,0.0000,1,1.11981,0.14198,14.42,-6.0329
79,26,fast,40,200,0,1,0.5000,1,1.12736,0.14741,14.77,-6.1368
80,26,fast,40,400,0,2,1.0000,1,1.12547,0.14503,14.70,-6.1794
81,27,fast,40,0,0,0,0.0000,1,1.12613,0.14807,14.68,-6.1622
82,27,fast,40,200,0,1,0.5000,1,1.13189,0.15605,14.85,-6.0602
83,27,fast,40,400,0,2,1.0000,1,1.12989,0.15302,14.79,-6.0862
84,28,fast,40,0,0,0,0.0000,1,1.11483,0.13344,14.30,-6.2027
85,28,fast,40,200,0,1,0.5000,1,1.12808,0.14767,14.80,-6.1633
86,28,fast,40,400,0,2,1.0000,1,1.12527,0.14423,14.71,-6.1831
87,29,fast,40,0,0,0,0.0000,1,1.12801,0.15093,14.70,-5.9251
88,29,fast,40,200,0,1,0.5000,1,1.12112,0.14149,14.52,-5.6227
89,29,fast,40,400,0,2,1.0000,1,1.12483,0.14587,14.65,-5.7252
90,30,fast,40,0,0,0,0.0000,1,1.11646,0.13269,14.42,-6.7162
91,30,fast,40,200,0,1,0.5000,1,1.13017,0.15093,14.88,-6.0126
92,30,fast,40,400,0,2,1.0000,1,1.13297,0.15394,14.98,-6.0968
93,31,fast,40,0,0,0,0.0000,1,1.12948,0.15345,14.73,-6.0493
94,31,fast,40,200,0,1,0.5000,1,1.13693,0.16021,15.04,-6.2801
95,31,fast,40,400,0,2,1.0000,1,1.13622,0.16002,15.01,-6.3135
96,32,fast,40,0,0,0,0.0000,1,1.12647,0.14949,14.66,-5.9604
97,32,fast,40,200,0,1,0.5000,1,1.13135,0.15508,14.81,-6.4126
98,32,fast,40,400,0,2,1.0000,1,1.13625,0.15962,15.02,-6.3360
99,33,fast,40,0,0,0,0.0000,1,1.12624,0.14865,14.66,-6.0591
100,33,fast,40,200,0,1,0.5000,1,1.13946,0.16418,15.09,-6.2533
101,33,fast,40,400,0,2,1.0000,1,1.13654,0.16170,14.98,-6.2763
102,34,fast,40,0,0,0,0.0000,1,1.12853,0.14848,14.83,-6.7353
103,34,fast,40,200,0,1,0.5000,1,1.12670,0.14621,14.76,-6.1728
104,34,fast,40,400,0,2,1.0000,1,1.12530,0.14381,14.73,-6.1821
105,35,fast,40,0,0,0,0.0000,1,1.12106,0.14341,14.45,-6.0075
106,35,fast,40,200,0,1,0.5000,1,1.13431,0.15802,14.92,-6.4393
107,35,fast,40,400,0,2,1.0000,1,1.13532,0.15914,14.97,-6.3233
108,36,fast,40,0,0,0,0.0000,1,1.10232,0.10879,14.02,-6.6337
