sample_idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy_per_atom
0,0,fast,40,0,0,0,0.0000,1,1.12333,0.14677,14.52,-5.9131
1,0,fast,40,200,0,1,0.5000,1,1.14668,0.17215,15.39,-6.5948
2,0,fast,40,400,0,2,1.0000,1,1.14654,0.17174,15.38,-6.5482
3,1,fast,40,0,0,0,0.0000,1,1.12139,0.14387,14.47,-6.0054
4,1,fast,40,200,0,1,0.5000,1,1.13071,0.15355,14.83,-5.6944
5,1,fast,40,400,0,2,1.0000,1,1.14120,0.16687,15.15,-6.3707
6,2,fast,40,0,0,0,0.0000,1,1.12324,0.14629,14.54,-5.9699
7,2,fast,40,200,0,1,0.5000,1,1.12412,0.14703,14.57,-5.4944
8,2,fast,40,400,0,2,1.0000,1,1.12191,0.14436,14.50,-5.4915
9,3,fast,40,0,0,0,0.0000,1,1.12762,0.15085,14.69,-5.9777
10,3,fast,40,200,0,1,0.5000,1,1.13417,0.15789,14.95,-6.3609
11,3,fast,40,400,0,2,1.0000,1,1.13571,0.15931,15.00,-6.3612
12,4,fast,40,0,0,0,0.0000,1,1.12187,0.14421,14.48,-5.9592
13,4,fast,40,200,0,1,0.5000,1,1.13303,0.15565,14.93,-6.2075
14,4,fast,40,400,0,2,1.0000,1,1.13161,0.15425,14.87,-6.1920
15,5,fast,40,0,0,0,0.0000,1,1.12426,0.14714,14.57,-5.9771
16,5,fast,40,200,0,1,0.5000,1,1.13298,0.15523,14.94,-6.2573
17,5,fast,40,400,0,2,1.0000,1,1.13255,0.15470,14.92,-6.1948
18,6,fast,40,0,0,0,0.0000,1,1.12165,0.14368,14.48,-5.9855
19,6,fast,40,200,0,1,0.5000,1,1.13435,0.15859,14.94,-6.0711
20,6,fast,40,400,0,2,1.0000,1,1.13285,0.15692,14.88,-6.0385
21,7,fast,40,0,0,0,0.0000,1,1.12498,0.14849,14.58,-5.9731
22,7,fast,40,200,0,1,0.5000,1,1.12106,0.13940,14.57,-6.2325
23,7,fast,40,400,0,2,1.0000,1,1.12335,0.14262,14.63,-6.2171
24,8,fast,40,0,0,0,0.0000,1,1.12488,0.14782,14.59,-5.9402
25,8,fast,40,200,0,1,0.5000,1,1.13327,0.15763,14.88,-6.3106
26,8,fast,40,400,0,2,1.0000,1,1.13446,0.15871,14.93,-6.3163
27,9,fast,40,0,0,0,0.0000,1,1.12526,0.14788,14.60,-5.9476
28,9,fast,40,200,0,1,0.5000,1,1.12630,0.15048,14.64,-5.4356
29,9,fast,40,400,0,2,1.0000,1,1.13304,0.15489,14.95,-6.1992
30,10,fast,40,0,0,0,0.0000,1,1.12387,0.14730,14.54,-5.9050
31,10,fast,40,200,0,1,0.5000,1,1.13278,0.15607,14.90,-6.3690
32,10,fast,40,400,0,2,1.0000,1,1.13323,0.15675,14.92,-6.2667
33,11,fast,40,0,0,0,0.0000,1,1.12272,0.14455,14.53,-5.9502
34,11,fast,40,200,0,1,0.5000,1,1.13475,0.15784,14.98,-6.3061
35,11,fast,40,400,0,2,1.0000,1,1.13255,0.15558,14.91,-6.3249
36,12,fast,40,0,0,0,0.0000,1,1.12310,0.14562,14.54,-6.0094
37,12,fast,40,200,0,1,0.5000,1,1.13059,0.15349,14.83,-6.2189
38,12,fast,40,400,0,2,1.0000,1,1.12929,0.15197,14.78,-6.2805
39,13,fast,40,0,0,0,0.0000,1,1.12394,0.14741,14.55,-5.9516
40,13,fast,40,200,0,1,0.5000,1,1.13293,0.15490,14.95,-6.2343
41,13,fast,40,400,0,2,1.0000,1,1.13060,0.15266,14.86,-6.1876
42,14,fast,40,0,0,0,0.0000,1,1.12569,0.14825,14.62,-6.0327
43,14,fast,40,200,0,1,0.5000,1,1.12014,0.13940,14.52,-6.3212
44,14,fast,40,400,0,2,1.0000,1,1.12081,0.14049,14.53,-6.3743
45,15,fast,40,0,0,0,0.0000,1,1.12736,0.15073,14.68,-5.9963
46,15,fast,40,200,0,1,0.5000,1,1.12411,0.14642,14.59,-5.5249
47,15,fast,40,400,0,2,1.0000,1,1.13035,0.15529,14.79,-6.1557
