idx,glass_id,cooling_type,cooling_chunks,fatigue_cycles,t_battery,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,mean_coord,energy
0,0,fast,40,0,0.35,0,0,0.0000,1,1.12732,0.14961,14.70,-5.9912
1,0,fast,40,50,0.35,0,1,0.1250,1,1.12681,0.14979,14.67,-5.4544
2,0,fast,40,100,0.35,0,2,0.2500,1,1.12425,0.14699,14.59,-5.5096
3,0,fast,40,150,0.35,0,3,0.3750,1,1.12389,0.14670,14.57,-5.5003
4,0,fast,40,200,0.35,0,4,0.5000,1,1.12146,0.14329,14.49,-5.5204
5,0,fast,40,250,0.35,0,5,0.6250,1,1.12546,0.14768,14.64,-5.7089
6,0,fast,40,300,0.35,0,6,0.7500,1,1.12652,0.14865,14.68,-5.6860
7,0,fast,40,350,0.35,0,7,0.8750,1,1.12206,0.14383,14.52,-5.7527
8,0,fast,40,400,0.35,0,8,1.0000,1,1.12710,0.14948,14.70,-5.6934
9,1,fast,40,0,0.35,0,0,0.0000,1,1.12373,0.14601,14.57,-5.9931
10,1,fast,40,50,0.35,0,1,0.1250,1,1.11983,0.14168,14.45,-5.5735
11,1,fast,40,100,0.35,0,2,0.2500,1,1.12347,0.14531,14.59,-5.5267
12,1,fast,40,150,0.35,0,3,0.3750,1,1.13564,0.15569,15.10,-6.2695
13,1,fast,40,200,0.35,0,4,0.5000,1,1.12673,0.14603,14.77,-6.3254
14,1,fast,40,250,0.35,0,5,0.6250,1,1.12678,0.14615,14.77,-6.3724
15,1,fast,40,300,0.35,0,6,0.7500,1,1.12686,0.14591,14.77,-6.3996
16,1,fast,40,350,0.35,0,7,0.8750,1,1.12572,0.14523,14.71,-6.2592
17,1,fast,40,400,0.35,0,8,1.0000,1,1.12739,0.14669,14.79,-6.3436
18,2,fast,40,0,0.35,0,0,0.0000,1,1.13443,0.15850,14.96,-6.4714
19,2,fast,40,50,0.35,0,1,0.1250,1,1.13359,0.15744,14.94,-6.1113
20,2,fast,40,100,0.35,0,2,0.2500,1,1.12506,0.14552,14.65,-6.3387
21,2,fast,40,150,0.35,0,3,0.3750,1,1.12483,0.14508,14.64,-6.3550
22,2,fast,40,200,0.35,0,4,0.5000,1,1.12515,0.14527,14.66,-6.3785
23,2,fast,40,250,0.35,0,5,0.6250,1,1.12425,0.14334,14.65,-6.4148
24,2,fast,40,300,0.35,0,6,0.7500,1,1.12575,0.14621,14.68,-6.3048
25,2,fast,40,350,0.35,0,7,0.8750,1,1.12657,0.14763,14.70,-6.3606
26,2,fast,40,400,0.35,0,8,1.0000,1,1.12422,0.14377,14.64,-6.3460
27,3,fast,40,0,0.35,0,0,0.0000,1,1.12250,0.14458,14.52,-5.9526
28,3,fast,40,50,0.35,0,1,0.1250,1,1.12392,0.14658,14.58,-5.5359
29,3,fast,40,100,0.35,0,2,0.2500,1,1.12194,0.14495,14.49,-5.4983
30,3,fast,40,150,0.35,0,3,0.3750,1,1.12230,0.14409,14.54,-5.4221
31,3,fast,40,200,0.35,0,4,0.5000,1,1.12654,0.14991,14.66,-5.5814
