idx,glass_id,cooling_type,fatigue_cycles,t_battery,label_cooling,label_fatigue,label_fatigue_cont,sample_passed,mean_bond,std_bond,energy
0,0,fast,0,0.4,0,0,0.0000,1,1.12455,0.14799,-6.0287
1,0,fast,5,0.4,0,1,0.0250,1,1.12651,0.14956,-5.4319
2,0,fast,10,0.4,0,2,0.0500,1,1.12681,0.15033,-5.4750
3,0,fast,15,0.4,0,3,0.0750,1,1.13033,0.15266,-6.0694
4,0,fast,20,0.4,0,4,0.1000,1,1.12952,0.15173,-5.9934
5,0,fast,30,0.4,0,5,0.1500,1,1.13049,0.15209,-6.1070
6,0,fast,40,0.4,0,6,0.2000,1,1.13181,0.15360,-6.0640
7,0,fast,50,0.4,0,7,0.2500,1,1.13044,0.15269,-6.1074
8,0,fast,75,0.4,0,8,0.3750,1,1.13077,0.15362,-6.1601
9,0,fast,100,0.4,0,9,0.5000,1,1.13314,0.15537,-6.1328
10,0,fast,150,0.4,0,10,0.7500,1,1.13055,0.15209,-6.1406
11,0,fast,200,0.4,0,11,1.0000,1,1.12835,0.14933,-6.0386
12,1,fast,0,0.4,0,0,0.0000,1,1.11552,0.13424,-6.2343
13,1,fast,5,0.4,0,1,0.0250,1,1.11982,0.14099,-5.6495
14,1,fast,10,0.4,0,2,0.0500,1,1.11596,0.13636,-5.6393
15,1,fast,15,0.4,0,3,0.0750,1,1.12233,0.14230,-5.5743
16,1,fast,20,0.4,0,4,0.1000,1,1.11829,0.13742,-5.7029
17,1,fast,30,0.4,0,5,0.1500,1,1.11852,0.13827,-5.6907
18,1,fast,40,0.4,0,6,0.2000,1,1.11753,0.13665,-5.6809
19,1,fast,50,0.4,0,7,0.2500,1,1.11883,0.13877,-5.6940
20,1,fast,75,0.4,0,8,0.3750,1,1.11817,0.13725,-5.7044
21,1,fast,100,0.4,0,9,0.5000,1,1.12193,0.14189,-5.7405
22,1,fast,150,0.4,0,10,0.7500,1,1.12100,0.14171,-5.6826
23,1,fast,200,0.4,0,11,1.0000,1,1.11776,0.13733,-5.6224
24,2,fast,0,0.4,0,0,0.0000,1,1.12343,0.14778,-5.8769
25,2,fast,5,0.4,0,1,0.0250,1,1.12081,0.14441,-5.3260
26,2,fast,10,0.4,0,2,0.0500,1,1.12396,0.14759,-5.3217
27,2,fast,15,0.4,0,3,0.0750,1,1.12202,0.14479,-5.4377
28,2,fast,20,0.4,0,4,0.1000,1,1.12162,0.14490,-5.4457
29,2,fast,30,0.4,0,5,0.1500,1,1.12446,0.14768,-5.4497
30,2,fast,40,0.4,0,6,0.2000,1,1.12029,0.14299,-5.4789
31,2,fast,50,0.4,0,7,0.2500,1,1.12056,0.14500,-5.3890
32,2,fast,75,0.4,0,8,0.3750,1,1.12088,0.14434,-5.3235
33,2,fast,100,0.4,0,9,0.5000,1,1.12288,0.14693,-5.4444
34,2,fast,150,0.4,0,10,0.7500,1,1.12218,0.14603,-5.3817
35,2,fast,200,0.4,0,11,1.0000,1,1.12254,0.14658,-5.4384
36,3,fast,0,0.4,0,0,0.0000,1,1.12626,0.15000,-6.0092
37,3,fast,5,0.4,0,1,0.0250,1,1.12423,0.14816,-5.2858
38,3,fast,10,0.4,0,2,0.0500,1,1.12636,0.14942,-5.3879
39,3,fast,15,0.4,0,3,0.0750,1,1.12663,0.14948,-5.3874
40,3,fast,20,0.4,0,4,0.1000,1,1.12307,0.14594,-5.3209
41,3,fast,30,0.4,0,5,0.1500,1,1.12446,0.14814,-5.4807
42,3,fast,40,0.4,0,6,0.2000,1,1.12944,0.15295,-5.9793
43,3,fast,50,0.4,0,7,0.2500,1,1.12906,0.15248,-5.8260
44,3,fast,75,0.4,0,8,0.3750,1,1.12745,0.14902,-5.8935
45,3,fast,100,0.4,0,9,0.5000,1,1.13123,0.15405,-5.8342
46,3,fast,150,0.4,0,10,0.7500,1,1.13003,0.15284,-5.9344
47,3,fast,200,0.4,0,11,1.0000,1,1.13066,0.15255,-5.9410
48,4,fast,0,0.4,0,0,0.0000,1,1.12429,0.14595,-6.0550
49,4,fast,5,0.4,0,1,0.0250,1,1.12644,0.14936,-5.2984
50,4,fast,10,0.4,0,2,0.0500,1,1.12815,0.15169,-5.4712
51,4,fast,15,0.4,0,3,0.0750,1,1.12604,0.14856,-5.4687
52,4,fast,20,0.4,0,4,0.1000,1,1.12663,0.14913,-5.5110
53,4,fast,30,0.4,0,5,0.1500,1,1.12438,0.14569,-5.5259
54,4,fast,40,0.4,0,6,0.2000,1,1.12829,0.14932,-6.0213
55,4,fast,50,0.4,0,7,0.2500,1,1.12880,0.14928,-6.0810
56,4,fast,75,0.4,0,8,0.3750,1,1.12968,0.15074,-6.1524
57,4,fast,100,0.4,0,9,0.5000,1,1.12714,0.14702,-6.0723
58,4,fast,150,0.4,0,10,0.7500,1,1.12805,0.14955,-6.0595
59,4,fast,200,0.4,0,11,1.0000,1,1.12508,0.14515,-6.0736
60,5,fast,0,0.4,0,0,0.0000,1,1.10601,0.11897,-6.5489
61,5,fast,5,0.4,0,1,0.0250,1,1.12424,0.14594,-6.0413
62,5,fast,10,0.4,0,2,0.0500,1,1.12277,0.14294,-6.1167
63,5,fast,15,0.4,0,3,0.0750,1,1.12873,0.14945,-6.1605
64,5,fast,20,0.4,0,4,0.1000,1,1.12781,0.14927,-6.1832
65,5,fast,30,0.4,0,5,0.1500,1,1.12676,0.14850,-6.1619
66,5,fast,40,0.4,0,6,0.2000,1,1.12691,0.14845,-6.0881
67,5,fast,50,0.4,0,7,0.2500,1,1.12905,0.15132,-6.2047
68,5,fast,75,0.4,0,8,0.3750,1,1.12822,0.14926,-6.1376
69,5,fast,100,0.4,0,9,0.5000,1,1.12441,0.14527,-6.2110
70,5,fast,150,0.4,0,10,0.7500,1,1.12714,0.14897,-6.1877
71,5,fast,200,0.4,0,11,1.0000,1,1.12927,0.15112,-6.1156
72,6,fast,0,0.4,0,0,0.0000,1,1.12027,0.14172,-6.1109
73,6,fast,5,0.4,0,1,0.0250,1,1.12256,0.14507,-5.4719
74,6,fast,10,0.4,0,2,0.0500,1,1.12059,0.14134,-5.6360
75,6,fast,15,0.4,0,3,0.0750,1,1.12864,0.14882,-6.1140
76,6,fast,20,0.4,0,4,0.1000,1,1.12774,0.14814,-6.1413
77,6,fast,30,0.4,0,5,0.1500,1,1.13040,0.15135,-6.0498
78,6,fast,40,0.4,0,6,0.2000,1,1.12808,0.14821,-6.0570
79,6,fast,50,0.4,0,7,0.2500,1,1.12991,0.14974,-6.2539
80,6,fast,75,0.4,0,8,0.3750,1,1.12059,0.14046,-6.1751
81,6,fast,100,0.4,0,9,0.5000,1,1.12606,0.14533,-6.1664
82,6,fast,150,0.4,0,10,0.7500,1,1.13186,0.15246,-6.1663
83,6,fast,200,0.4,0,11,1.0000,1,1.12843,0.14781,-6.2672
84,7,fast,0,0.4,0,0,0.0000,1,1.12461,0.14652,-5.9607
85,7,fast,5,0.4,0,1,0.0250,1,1.12805,0.15002,-5.3191
86,7,fast,10,0.4,0,2,0.0500,1,1.13027,0.15259,-5.4027
87,7,fast,15,0.4,0,3,0.0750,1,1.13094,0.15265,-6.1965
88,7,fast,20,0.4,0,4,0.1000,1,1.13442,0.15687,-6.2659
89,7,fast,30,0.4,0,5,0.1500,1,1.13030,0.15201,-6.2220
90,7,fast,40,0.4,0,6,0.2000,1,1.12835,0.14956,-6.2371
91,7,fast,50,0.4,0,7,0.2500,1,1.13210,0.15364,-6.2853
92,7,fast,75,0.4,0,8,0.3750,1,1.12807,0.14905,-6.1906
93,7,fast,100,0.4,0,9,0.5000,1,1.13219,0.15434,-6.2285
94,7,fast,150,0.4,0,10,0.7500,1,1.12943,0.14984,-6.1934
95,7,fast,200,0.4,0,11,1.0000,1,1.12944,0.14923,-6.1855
96,8,fast,0,0.4,0,0,0.0000,1,1.12559,0.14730,-5.9840
97,8,fast,5,0.4,0,1,0.0250,1,1.12429,0.14777,-5.3193
98,8,fast,10,0.4,0,2,0.0500,1,1.12846,0.15015,-5.5711
99,8,fast,15,0.4,0,3,0.0750,1,1.12662,0.14856,-5.4729
100,8,fast,20,0.4,0,4,0.1000,1,1.12625,0.14958,-5.4525
101,8,fast,30,0.4,0,5,0.1500,1,1.12729,0.14929,-5.5180
102,8,fast,40,0.4,0,6,0.2000,1,1.12911,0.15216,-5.5019
103,8,fast,50,0.4,0,7,0.2500,1,1.14354,0.16979,-6.5859
104,8,fast,75,0.4,0,8,0.3750,1,1.14342,0.16846,-6.8572
105,8,fast,100,0.4,0,9,0.5000,1,1.14678,0.17132,-6.8862
106,8,fast,150,0.4,0,10,0.7500,1,1.14406,0.16943,-6.8619
107,8,fast,200,0.4,0,11,1.0000,1,1.14515,0.17053,-6.8857
108,9,fast,0,0.4,0,0,0.0000,1,1.12480,0.14696,-5.9400
109,9,fast,5,0.4,0,1,0.0250,1,1.12313,0.14618,-5.4881
110,9,fast,10,0.4,0,2,0.0500,1,1.12833,0.15110,-5.6292
111,9,fast,15,0.4,0,3,0.0750,1,1.12975,0.15097,-6.1283
112,9,fast,20,0.4,0,4,0.1000,1,1.12799,0.14952,-6.1266
113,9,fast,30,0.4,0,5,0.1500,1,1.13306,0.15464,-6.1621
114,9,fast,40,0.4,0,6,0.2000,1,1.13277,0.15417,-6.1678
115,9,fast,50,0.4,0,7,0.2500,1,1.13160,0.15311,-6.0821
116,9,fast,75,0.4,0,8,0.3750,1,1.13082,0.15172,-6.1679
117,9,fast,100,0.4,0,9,0.5000,1,1.12844,0.14982,-6.1840
118,9,fast,150,0.4,0,10,0.7500,1,1.13014,0.15186,-6.1016
119,9,fast,200,0.4,0,11,1.0000,1,1.13312,0.15438,-6.1742
120,10,fast,0,0.4,0,0,0.0000,1,1.12254,0.14493,-6.0771
121,10,fast,5,0.4,0,1,0.0250,1,1.12421,0.14620,-5.4060
122,10,fast,10,0.4,0,2,0.0500,1,1.12258,0.14342,-5.4667
123,10,fast,15,0.4,0,3,0.0750,1,1.12408,0.14562,-5.5214
124,10,fast,20,0.4,0,4,0.1000,1,1.12187,0.14408,-5.5290
125,10,fast,30,0.4,0,5,0.1500,1,1.12596,0.14757,-5.4917
126,10,fast,40,0.4,0,6,0.2000,1,1.12292,0.14515,-5.3774
127,10,fast,50,0.4,0,7,0.2500,1,1.12805,0.14996,-5.5379
128,10,fast,75,0.4,0,8,0.3750,1,1.12636,0.14810,-5.5165
129,10,fast,100,0.4,0,9,0.5000,1,1.12225,0.14377,-5.4940
130,10,fast,150,0.4,0,10,0.7500,1,1.12512,0.14683,-5.3712
131,10,fast,200,0.4,0,11,1.0000,1,1.12426,0.14521,-5.4588
132,11,fast,0,0.4,0,0,0.0000,1,1.12093,0.14286,-6.0589
133,11,fast,5,0.4,0,1,0.0250,1,1.12289,0.14598,-5.4032
134,11,fast,10,0.4,0,2,0.0500,1,1.12399,0.14745,-5.3718
135,11,fast,15,0.4,0,3,0.0750,1,1.12435,0.14673,-5.3528
136,11,fast,20,0.4,0,4,0.1000,1,1.12131,0.14305,-5.4161
137,11,fast,30,0.4,0,5,0.1500,1,1.12253,0.14525,-5.3943
138,11,fast,40,0.4,0,6,0.2000,1,1.12524,0.14814,-5.4939
139,11,fast,50,0.4,0,7,0.2500,1,1.12591,0.14921,-5.4998
140,11,fast,75,0.4,0,8,0.3750,1,1.12341,0.14631,-5.4862
141,11,fast,100,0.4,0,9,0.5000,1,1.12479,0.14804,-5.4422
142,11,fast,150,0.4,0,10,0.7500,1,1.13709,0.15771,-5.9999
143,11,fast,200,0.4,0,11,1.0000,1,1.13424,0.15448,-6.0816
144,12,fast,0,0.4,0,0,0.0000,1,1.12529,0.14793,-6.0013
145,12,fast,5,0.4,0,1,0.0250,1,1.12283,0.14615,-5.2523
146,12,fast,10,0.4,0,2,0.0500,1,1.12367,0.14688,-5.4477
147,12,fast,15,0.4,0,3,0.0750,1,1.11285,0.13010,-5.7861
148,12,fast,20,0.4,0,4,0.1000,1,1.13016,0.15034,-6.1655
149,12,fast,30,0.4,0,5,0.1500,1,1.13400,0.15439,-6.1818
150,12,fast,40,0.4,0,6,0.2000,1,1.13089,0.15185,-6.1503
151,12,fast,50,0.4,0,7,0.2500,1,1.13194,0.15197,-6.2091
152,12,fast,75,0.4,0,8,0.3750,1,1.12991,0.15008,-6.1488
153,12,fast,100,0.4,0,9,0.5000,1,1.12838,0.14888,-6.2066
154,12,fast,150,0.4,0,10,0.7500,1,1.13107,0.15164,-6.1869
155,12,fast,200,0.4,0,11,1.0000,1,1.12941,0.14920,-6.1576
156,13,fast,0,0.4,0,0,0.0000,1,1.13081,0.15081,-6.7488
157,13,fast,5,0.4,0,1,0.0250,1,1.12745,0.14779,-6.0964
158,13,fast,10,0.4,0,2,0.0500,1,1.13310,0.15398,-6.1386
159,13,fast,15,0.4,0,3,0.0750,1,1.13072,0.15202,-6.1548
160,13,fast,20,0.4,0,4,0.1000,1,1.12634,0.14605,-6.0187
161,13,fast,30,0.4,0,5,0.1500,1,1.12971,0.15046,-6.1601
162,13,fast,40,0.4,0,6,0.2000,1,1.11663,0.13375,-6.0118
163,13,fast,50,0.4,0,7,0.2500,1,1.13080,0.15146,-6.2243
164,13,fast,75,0.4,0,8,0.3750,1,1.13058,0.15028,-6.1901
165,13,fast,100,0.4,0,9,0.5000,1,1.12910,0.14909,-6.2055
166,13,fast,150,0.4,0,10,0.7500,1,1.12937,0.14992,-6.1659
167,13,fast,200,0.4,0,11,1.0000,1,1.12946,0.14957,-6.1295
168,14,fast,0,0.4,0,0,0.0000,1,1.10541,0.11759,-6.6210
169,14,fast,5,0.4,0,1,0.0250,1,1.12069,0.13991,-6.0563
170,14,fast,10,0.4,0,2,0.0500,1,1.13099,0.15157,-6.0991
171,14,fast,15,0.4,0,3,0.0750,1,1.12924,0.15032,-6.1106
172,14,fast,20,0.4,0,4,0.1000,1,1.13085,0.15164,-6.0943
173,14,fast,30,0.4,0,5,0.1500,1,1.12959,0.15085,-6.1479
174,14,fast,40,0.4,0,6,0.2000,1,1.12796,0.14882,-6.1728
175,14,fast,50,0.4,0,7,0.2500,1,1.13347,0.15453,-6.1566
176,14,fast,75,0.4,0,8,0.3750,1,1.12820,0.14872,-6.1381
177,14,fast,100,0.4,0,9,0.5000,1,1.13063,0.15145,-6.1554
178,14,fast,150,0.4,0,10,0.7500,1,1.13007,0.15022,-6.1357
179,14,fast,200,0.4,0,11,1.0000,1,1.12816,0.14846,-6.1473
180,15,fast,0,0.4,0,0,0.0000,1,1.12517,0.14717,-6.1003
181,15,fast,5,0.4,0,1,0.0250,1,1.12408,0.14651,-5.5937
182,15,fast,10,0.4,0,2,0.0500,1,1.13108,0.15187,-6.2020
183,15,fast,15,0.4,0,3,0.0750,1,1.13486,0.15592,-6.1790
184,15,fast,20,0.4,0,4,0.1000,1,1.12983,0.15100,-6.1856
185,15,fast,30,0.4,0,5,0.1500,1,1.13041,0.15156,-6.2260
186,15,fast,40,0.4,0,6,0.2000,1,1.13171,0.15248,-6.1803
187,15,fast,50,0.4,0,7,0.2500,1,1.13180,0.15297,-6.2155
188,15,fast,75,0.4,0,8,0.3750,1,1.12874,0.14968,-6.1503
189,15,fast,100,0.4,0,9,0.5000,1,1.12904,0.15002,-6.1305
190,15,fast,150,0.4,0,10,0.7500,1,1.12792,0.14738,-6.1234
191,15,fast,200,0.4,0,11,1.0000,1,1.13139,0.15308,-6.1576
192,16,fast,0,0.4,0,0,0.0000,1,1.11677,0.13500,-6.3097
193,16,fast,5,0.4,0,1,0.0250,1,1.12855,0.14859,-6.1745
194,16,fast,10,0.4,0,2,0.0500,1,1.12949,0.14954,-6.2093
195,16,fast,15,0.4,0,3,0.0750,1,1.12780,0.14780,-6.1896
196,16,fast,20,0.4,0,4,0.1000,1,1.12956,0.14942,-6.2044
197,16,fast,30,0.4,0,5,0.1500,1,1.12992,0.15049,-6.2138
198,16,fast,40,0.4,0,6,0.2000,1,1.12900,0.14899,-6.1922
199,16,fast,50,0.4,0,7,0.2500,1,1.12752,0.14768,-6.0763
200,16,fast,75,0.4,0,8,0.3750,1,1.12791,0.14795,-6.1728
201,16,fast,100,0.4,0,9,0.5000,1,1.12999,0.14995,-6.1345
202,16,fast,150,0.4,0,10,0.7500,1,1.12997,0.15073,-6.1994
203,16,fast,200,0.4,0,11,1.0000,1,1.13059,0.15088,-6.2036
204,17,fast,0,0.4,0,0,0.0000,1,1.12179,0.14534,-5.9245
205,17,fast,5,0.4,0,1,0.0250,1,1.12422,0.14825,-5.3996
206,17,fast,10,0.4,0,2,0.0500,1,1.12204,0.14631,-5.2622
207,17,fast,15,0.4,0,3,0.0750,1,1.12446,0.14842,-5.3787
